p0, p1, v0, v1
424.705, -426.365, -8.633, 6.087
-434.562, -495.989, -49.448, 1.167
19.706, -318.523, -6.271, 47.266
206.159, -68.679, 102.164, -4.902
373.487, -206.152, -10.796, 41.493
-281.975, 84.643, 39.080, 42.559
325.266, 54.704, -0.017, -7.679
-397.160, -485.833, 14.096, 0.914
-416.131, 13.106, 2.493, 47.416
87.094, 260.612, -84.040, -15.451
-410.337, 497.520, -69.803, -1.498
-461.938, -301.899, -38.113, 29.589
455.968, 309.830, -5.483, -22.988
396.907, 460.669, -16.423, -5.829
-121.663, 403.805, 18.104, 29.560
-211.558, -140.459, 28.261, 68.821
117.336, -491.960, -8.071, 1.820
480.001, -355.005, -2.127, 16.017
-504.678, -508.565, 0.948, -1.450
373.026, 119.194, 57.602, 16.854
131.760, 358.993, -61.081, 95.557
330.741, -485.454, 40.614, 1.672
181.015, 163.648, -5.480, -20.381
-487.212, -457.883, 2.387, 46.010
438.946, 40.449, 30.919, -58.053
-436.123, 507.251, 73.459, -0.615
-204.993, 6.643, 23.015, -22.505
452.324, -369.651, 120.294, 43.027
-149.300, -406.278, 44.103, -91.063
-505.416, -214.737, -83.948, -59.139
-312.562, 367.523, -4.736, -13.950
-506.200, -337.644, -4.865, -41.055
486.879, 469.107, 24.352, -10.383
-368.263, 64.140, -33.592, 40.181
123.908, -370.685, -32.027, -9.030
295.530, -282.253, -71.256, 25.372
9.544, -200.886, 15.553, 14.415
-442.659, 511.914, -79.228, 0.585
225.753, -487.222, -18.006, 3.164
217.683, 445.610, -96.741, 51.876
-350.315, 189.368, -15.204, 66.363
-91.733, -507.914, 26.151, -0.030
181.569, -498.526, -26.960, -1.091
-180.314, -74.384, 46.773, 7.579
-21.573, -350.299, 51.943, 11.374
150.328, -509.631, -47.533, -0.112
-434.380, -156.291, 6.031, 18.947
199.043, -65.694, -23.340, 31.713
458.635, -445.494, -24.717, 8.002
-311.099, -383.616, 18.860, -7.816
